Edition,Date,tomato,brinjal,bhendi,green mirchi,kakarakaya,beerakaya,cabbage,beans,carrot,cauliflower,dondakaya,chikkudukaya,gokarakaya,beetroot,capsicum,potato,keera,dosakaya,sorakaya,potlakaya,chamagadda,kanda,onion,month
Hyderabad-LBNagar,30 Nov 2018,,,,,,,,,,,,,,,,,,,,,,,,November
Hyderabad-LBNagar,1 Dec 2018,14,28,29,19,28,31,10,38,31,19,23,40,31,23,25,23,23,13,23,10,30,,16,December
Hyderabad-LBNagar,2 Dec 2018,15,25,29,19,25,38,13,38,28,19,20,44,29,23,28,26,25,11,25,8,29,,16,December
Hyderabad-LBNagar,3 Dec 2018,16,31,31,19,35,31,13,38,31,19,20,44,28,23,31,26,23,15,18,7,29,16,16,December
Hyderabad-LBNagar,4 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,5 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,6 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,7 Dec 2018,15,25,31,20,35,31,11,38,35,19,23,48,35,25,25,25,23,11,15,7,29,15,16,December
Hyderabad-LBNagar,8 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,9 Dec 2018,15,25,25,25,28,38,11,38,31,18,21,50,31,23,31,25,15,11,15,8,29,15,16,December
Hyderabad-LBNagar,10 Dec 2018,15,26,24,25,29,36,10,39,32,16,20,51,31,23,31,25,15,11,15,8,29,15,16,December
Hyderabad-LBNagar,11 Dec 2018,13,20,25,20,31,25,11,35,31,19,21,38,29,23,31,25,13,13,15,5,29,15,16,December
Hyderabad-LBNagar,12 Dec 2018,11,31,31,23,28,38,11,31,28,19,20,38,28,23,31,21,13,11,15,5,,13,16,December
Hyderabad-LBNagar,13 Dec 2018,11,23,28,25,28,38,11,31,25,19,23,38,29,25,28,23,11,11,15,7,28,13,16,December
Hyderabad-LBNagar,14 Dec 2018,12,20,28,25,25,31,11,31,28,19,20,38,28,25,31,21,13,11,15,7,29,13,16,December
Hyderabad-LBNagar,15 Dec 2018,11,15,31,23,23,38,11,31,25,19,25,38,28,23,29,21,11,11,15,6,29,13,16,December
Hyderabad-LBNagar,16 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,17 Dec 2018,11,25,30,25,31,38,11,31,35,18,26,44,28,25,25,21,15,13,15,5,44,13,16,December
Hyderabad-LBNagar,18 Dec 2018,13,20,31,25,33,38,10,31,30,19,28,31,30,25,31,21,19,13,13,5,30,19,16,December
Hyderabad-LBNagar,19 Dec 2018,11,31,31,28,28,38,10,38,25,19,31,38,31,19,33,21,19,11,20,5,29,19,16,December
Hyderabad-LBNagar,20 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,21 Dec 2018,15,25,40,29,31,38,11,38,29,20,31,38,35,23,33,21,18,13,20,7,,,,December
Hyderabad-LBNagar,22 Dec 2018,13,25,38,25,28,44,11,38,28,25,28,38,38,23,33,21,18,13,20,19,30,19,16,December
Hyderabad-LBNagar,23 Dec 2018,13,25,40,28,25,46,13,38,25,21,31,38,38,24,38,23,23,13,20,7,29,19,16,December
Hyderabad-LBNagar,24 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,25 Dec 2018,,,,,,,,,,,,,,,,,,,,,,,,December
Hyderabad-LBNagar,26 Dec 2018,18,38,38,31,28,50,13,35,20,23,33,44,40,23,38,20,13,20,23,19,28,19,14,December
Hyderabad-LBNagar,27 Dec 2018,15,31,38,31,28,44,13,38,20,20,35,50,40,25,40,20,13,15,25,7,35,19,13,December
Hyderabad-LBNagar,28 Dec 2018,15,38,31,31,28,44,11,31,20,24,34,44,40,25,38,20,13,13,30,19,33,19,14,December
Hyderabad-LBNagar,29 Dec 2018,15,38,31,38,28,50,12,31,21,25,33,38,38,24,38,19,15,13,25,19,31,16,14,December
Hyderabad-LBNagar,30 Dec 2018,18,31,31,40,28,50,12,31,20,23,33,40,38,24,38,20,13,11,23,7,34,14,14,December
Hyderabad-LBNagar,31 Dec 2018,15,31,31,31,28,40,11,31,23,25,33,38,38,24,25,20,13,13,15,6,30,15,14,December
Hyderabad-LBNagar,1 Jan 2019,15,38,35,31,31,50,13,35,21,31,31,44,35,25,29,19,15,13,20,7,31,19,12,January
Hyderabad-LBNagar,2 Jan 2019,15,38,38,31,31,50,13,31,20,31,34,40,38,28,31,19,13,15,25,6,30,16,12,January
Hyderabad-LBNagar,3 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,4 Jan 2019,18,31,40,40,38,50,13,35,20,31,40,44,38,30,38,19,15,15,20,8,33,15,14,January
Hyderabad-LBNagar,5 Jan 2019,20,50,50,40,38,50,13,38,20,28,41,40,44,29,44,20,23,16,25,19,33,15,14,January
Hyderabad-LBNagar,6 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,7 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,8 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,9 Jan 2019,35,38,50,31,44,55,15,44,18,29,38,44,44,23,40,15,19,15,25,5,35,15,14,January
Hyderabad-LBNagar,10 Jan 2019,40,31,48,31,40,55,13,31,15,28,38,38,40,23,38,19,25,13,20,7,33,19,14,January
Hyderabad-LBNagar,11 Jan 2019,30,31,50,35,44,60,12,38,18,25,33,50,40,24,38,18,25,13,25,7,31,19,14,January
Hyderabad-LBNagar,12 Jan 2019,30,25,50,33,44,60,11,31,23,25,28,31,44,23,38,18,23,13,20,19,33,16,14,January
Hyderabad-LBNagar,13 Jan 2019,30,25,45,38,44,55,11,38,23,31,30,38,44,25,38,18,19,13,25,15,31,16,14,January
Hyderabad-LBNagar,14 Jan 2019,30,31,44,35,38,50,15,33,23,38,25,31,44,23,35,18,15,13,25,15,31,14,12,January
Hyderabad-LBNagar,15 Jan 2019,30,31,38,35,38,60,13,50,28,35,25,31,35,,,,,,,,,,,January
Hyderabad-LBNagar,16 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,17 Jan 2019,30,31,38,35,38,60,13,50,28,35,25,31,35,23,35,13,13,13,20,15,31,16,12,January
Hyderabad-LBNagar,18 Jan 2019,25,44,40,38,44,55,13,50,28,50,34,44,55,29,40,18,23,16,20,7,31,16,12,January
Hyderabad-LBNagar,19 Jan 2019,20,44,44,38,44,52,13,38,30,25,31,38,44,29,44,20,28,13,20,6,31,16,12,January
Hyderabad-LBNagar,20 Jan 2019,18,25,44,44,50,55,15,31,25,19,33,31,40,,,,,,,,,,,January
Hyderabad-LBNagar,21 Jan 2019,15,38,40,31,44,55,15,44,25,25,28,28,38,25,40,20,23,13,23,7,34,19,12,January
Hyderabad-LBNagar,22 Jan 2019,21,25,45,25,44,55,15,38,23,15,25,19,38,25,44,19,19,13,23,7,31,25,12,January
Hyderabad-LBNagar,23 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,24 Jan 2019,23,38,50,38,50,55,15,31,18,25,21,31,38,26,43,19,25,15,23,7,33,26,12,January
Hyderabad-LBNagar,25 Jan 2019,20,25,50,31,41,55,14,35,20,25,28,31,41,28,44,19,28,15,25,12,33,19,14,January
Hyderabad-LBNagar,26 Jan 2019,19,25,50,30,41,55,14,35,20,25,28,31,41,28,43,21,23,16,24,11,32,,14,January
Hyderabad-LBNagar,27 Jan 2019,18,25,44,35,40,56,12,38,21,23,,,,,,,,,,,,,,January
Hyderabad-LBNagar,28 Jan 2019,,,,,,,,,,,,,,,,,,,,,,,,January
Hyderabad-LBNagar,29 Jan 2019,20,38,38,35,44,50,13,40,33,23,25,31,44,28,48,23,31,13,20,9,33,19,14,January
Hyderabad-LBNagar,30 Jan 2019,35,38,38,35,44,52,13,35,21,25,30,31,44,28,48,21,25,13,23,8,33,19,14,January
Hyderabad-LBNagar,31 Jan 2019,20,19,38,38,38,52,13,31,20,25,25,31,38,25,45,18,25,,,,,,,January
Hyderabad-LBNagar,1 Feb 2019,21,19,44,29,44,52,19,31,19,25,28,31,44,28,50,20,25,13,20,8,34,19,14,February
Hyderabad-LBNagar,2 Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,February
Hyderabad-LBNagar,3 Feb 2019,16,25,52,38,38,55,13,31,19,20,38,25,50,25,40,20,25,13,15,9,34,15,12,February
Hyderabad-LBNagar,4 Feb 2019,18,44,60,44,44,60,19,38,18,25,44,25,60,26,44,21,23,13,18,13,34,13,12,February
Hyderabad-LBNagar,5 Feb 2019,18,44,60,44,44,60,19,38,18,25,44,25,60,26,44,21,23,13,18,13,34,19,12,February
Hyderabad-LBNagar,6 Feb 2019,23,31,52,44,44,58,13,40,20,25,44,31,60,23,44,20,23,13,25,9,,,,February
Hyderabad-LBNagar,7 Feb 2019,21,25,55,44,44,58,13,44,16,23,44,31,60,28,41,20,25,15,20,10,34,19,12,February
Hyderabad-LBNagar,8 Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,February
Hyderabad-LBNagar,9 Feb 2019,18,25,50,40,44,58,19,41,15,38,41,31,60,25,44,19,25,13,25,19,34,19,12,February
Hyderabad-LBNagar,10 Feb 2019,19,23,50,40,44,60,13,41,16,23,40,25,55,25,41,20,23,15,18,9,34,19,12,February
Hyderabad-LBNagar,11 Feb 2019,18,38,48,44,44,60,19,44,15,19,38,31,55,25,43,20,53,15,20,13,34,19,13,February
Hyderabad-LBNagar,12 Feb 2019,15,23,48,44,44,60,11,41,16,25,40,21,60,25,40,21,25,13,20,13,35,15,13,February
Hyderabad-LBNagar,13 Feb 2019,18,25,55,44,44,60,13,45,16,25,41,31,55,25,45,18,23,,,,,,,February
Hyderabad-LBNagar,14 Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,February
Hyderabad-LBNagar,15 Feb 2019,18,25,44,40,38,60,13,44,15,23,40,31,60,25,50,15,25,15,20,13,31,16,13,February
Hyderabad-LBNagar,16 Feb 2019,18,19,41,38,38,58,15,44,16,19,38,31,50,23,48,14,23,13,20,11,38,16,13,February
Hyderabad-LBNagar,17 Feb 2019,16,25,44,40,40,60,19,48,18,19,35,31,60,25,40,18,25,13,18,10,33,15,13,February
Hyderabad-LBNagar,18 Feb 2019,18,25,44,44,40,55,15,48,16,23,31,31,50,23,50,16,,,,,,,,February
Hyderabad-LBNagar,19 Feb 2019,19,19,44,44,40,55,13,44,16,19,31,31,44,23,52,16,19,13,18,13,35,15,13,February
Hyderabad-LBNagar,20 Feb 2019,23,19,44,40,40,60,13,44,15,19,35,31,60,20,52,19,19,16,20,10,33,15,13,February
Hyderabad-LBNagar,21 Feb 2019,24,19,44,40,41,60,13,44,15,19,36,31,60,20,52,19,19,16,20,10,33,15,13,February
Hyderabad-LBNagar,22 Feb 2019,19,19,44,40,38,62,13,38,16,23,25,31,50,23,55,,,,,,,,,February
Hyderabad-LBNagar,23 Feb 2019,19,15,38,40,48,62,13,40,16,19,20,31,44,23,52,18,19,15,,,,,,February
Hyderabad-LBNagar,24 Feb 2019,18,19,44,38,44,62,13,38,19,19,20,31,50,25,50,16,20,19,20,15,35,18,11,February
Hyderabad-LBNagar,25 Feb 2019,18,25,44,48,44,65,13,44,16,19,20,31,50,23,52,20,19,15,20,15,38,15,11,February
Hyderabad-LBNagar,26 Feb 2019,20,19,44,44,44,62,15,41,18,19,20,31,50,24,52,15,19,19,20,13,35,18,11,February
Hyderabad-LBNagar,27 Feb 2019,21,20,44,44,44,65,13,44,18,25,24,31,48,23,58,19,19,19,20,13,35,16,,February
Hyderabad-LBNagar,28 Feb 2019,20,25,50,40,44,65,13,44,18,19,26,38,50,20,50,15,15,19,20,13,38,16,11,February
Hyderabad-LBNagar,1 Mar 2019,18,25,50,44,50,60,19,41,16,19,25,38,44,19,52,14,18,19,19,11,38,18,,March
Hyderabad-LBNagar,2 Mar 2019,13,15,50,40,44,60,19,33,16,25,25,31,40,19,55,14,13,18,20,13,38,15,,March
Hyderabad-LBNagar,3 Mar 2019,15,23,44,44,44,62,19,38,16,19,25,44,41,19,53,15,16,19,20,13,38,18,12,March
Hyderabad-LBNagar,4 Mar 2019,15,19,44,44,44,60,15,38,18,,25,40,38,19,55,21,19,19,20,15,38,13,12,March
Hyderabad-LBNagar,5 Mar 2019,18,25,44,45,50,62,18,38,16,19,20,52,40,18,56,16,15,25,20,13,38,13,12,March
Hyderabad-LBNagar,6 Mar 2019,18,25,44,45,50,62,18,38,16,19,20,52,40,18,56,16,15,25,20,13,38,13,12,March
Hyderabad-LBNagar,7 Mar 2019,,,,,,,,,,,,,,,,,,,,,,,,March
Hyderabad-LBNagar,8 Mar 2019,16,19,44,50,50,65,19,38,25,20,25,50,38,16,60,15,19,23,20,25,39,16,12,March
Hyderabad-LBNagar,9 Mar 2019,,,,,,,,,,,,,,,,,,,,,,,,March
Hyderabad-LBNagar,10 Mar 2019,11,19,44,50,50,55,20,38,19,19,19,38,38,19,52,16,23,19,20,13,38,16,12,March
Hyderabad-LBNagar,11 Mar 2019,15,19,48,50,44,55,13,38,19,25,19,50,40,18,65,16,28,19,20,15,40,19,12,March
Hyderabad-LBNagar,12 Mar 2019,15,23,50,53,50,60,20,50,19,25,19,8,38,18,63,18,23,2,25,13,38,,12,March
Hyderabad-LBNagar,13 Mar 2019,15,25,50,50,50,50,16,70,20,28,21,38,38,18,60,16,25,19,20,15,44,19,12,March
Hyderabad-LBNagar,14 Mar 2019,20,25,44,50,50,50,19,65,20,26,24,44,38,15,55,16,19,20,20,15,44,19,12,March
Hyderabad-LBNagar,15 Mar 2019,18,31,44,50,50,55,19,70,23,33,23,44,38,19,53,18,19,25,23,,,,,March
Hyderabad-LBNagar,16 Mar 2019,15,31,44,44,50,55,19,60,19,25,24,44,38,16,52,16,18,19,20,15,44,19,12,March
Hyderabad-LBNagar,17 Mar 2019,18,31,44,48,50,60,20,70,19,25,24,44,38,15,55,16,16,20,20,15,41,19,12,March
Hyderabad-LBNagar,18 Mar 2019,15,23,53,50,50,66,19,70,23,25,25,60,38,15,53,16,19,19,25,13,41,19,,March
Hyderabad-LBNagar,19 Mar 2019,13,28,50,50,50,60,20,65,23,38,29,50,38,19,52,16,20,23,20,15,41,,12,March
Hyderabad-LBNagar,20 Mar 2019,17,38,50,52,50,62,20,75,25,28,25,60,38,20,50,16,19,25,20,11,41,19,12,March